,date,id,owner_id,from_id,text,comments,likes,reposts,views
0,2021-12-11 01:00:00,185792,-162902237,-162902237,"Актрису Марию Шукшину заблокировали за позицию по коронавирусу
 
Актриса и телеведущая сообщила, что YouTube заблокировал ее канал ""за нарушение правил сообщества"". Российская пресс-служба компании Google пояснила, что YouTube-канал Марии Шукшиной был заблокирован за распространение фейков о ковиде. 
 
«На YouTube запрещен контент, распространяющий медицинскую дезинформацию, противоречащую медицинской информации местных органов здравоохранения или ВОЗ о COVID-19», — назвали в Google причину блокировки.",7,7,0,1797.0
3,2021-12-11 00:57:16,4,677492437,677492437,,5,39,10,859.0
10,2021-12-11 00:53:50,1298,567313888,567313888,"STASERA ALLE 20:30 SU BYOBLU, CANALE TV 262

Quello che vedrete in questa puntata di Grandangolo
non è il trailer di un terrificante film di fantascienza,
ma l’uso reale della scienza per folli piani di dominio. 
 
In Svezia – riporta Newsweek – le nuove restrizioni per il Covid spingono sempre più persone a farsi impiantare sotto pelle microchip con i dati sulle vaccinazioni. Questi microchip vengono usati anche per accedere a case, uffici e altri luoghi senza l'uso di chiavi. In alcune aziende in Svezia, negli Stati Uniti e in altri paesi, i dipendenti si fanno impiantare nel corpo microchip, che permettono ai capi di controllare la loro attività, registrando il numero di passi che un dipendente fa in un giorno, la sua frequenza cardiaca, cosa mangia e beve, quanto dorme e persino i suoi livelli ormonali. “La neurotecnologia – scrive il Guardian – permette alle aziende di monitorare anche l'attività del cervello dei loro dipendenti. Ora, le aziende stanno letteralmente entrando nella pelle dei loro dipendenti”.
Una tecnologia analoga viene sperimentata dalla Agenzia di ricerca avanzata del Pentagono, la quale annuncia che il dispositivo impiantabile ha lo scopo di convertire i neuroni del cervello in segnali elettronici per il trasferimento di dati tra il cervello umano e il mondo digitale. 
In una intervista alla Radio Televisione Svizzera, Klaus Schwab, presidente del World Economic Forum di Davos, ha dichiarato: “Impianteremo microchip sotto pelle o nel cervello. Ciò che vogliamo è una sorta di fusione tra il mondo fisico, digitale e biologico”. Il World Economic Forum comunica che “le lezioni apprese dai vaccini Covid-19 possono far progredire la biologia sintetica, per riprogettare i sistemi biologici naturali esistenti"". Scrive il New York Times: “Come nell'informatica, l'informazione biologica è codificata nel DNA, quindi può essere programmata con l'obiettivo di riprogettare gli organismi viventi per scopi utili”.
 
Pangea GRANDANGOLO
RASSEGNA STAMPA INTERNAZIONALE
su BYOBLU, canale 262 del digitale terrestre
Ogni venerdì  alle 20:30
 
REPLICHE
Sabato  9:00 / 16:00
Domenica 11:00. / 17:30
Lunedì  8:00 / 19.15
Martedì  12:15 / 22:30
Mercoledì 17:15
Giovedì 18:00",2,1,0,38.0
19,2021-12-11 00:49:47,1879,480852776,480852776,"""Vaikka kaksi rokoteannosta voivat silti tarjota suojan Omicron-kannan aiheuttamia vakavia sairauksia vastaan, näiden alustavien tietojen perusteella on selvää, että suoja paranee kolmannella rokoteannoksellamme"", Pfizerin toimitusjohtaja Albert Bourla sanoi. ""Varmistaa, että mahdollisimman monet ihmiset ovat täysin rokotettuja kahdella ensimmäisellä annossarjalla ja tehosterokotus on edelleen paras tapa estää COVID-19: n leviäminen ."" 
 
Tämä on ehdoton valhe. Ei pitäisi olla yllätys, että Big Pharman toimitusjohtaja pettää yleisöä tuotteestaan. Mutta Yhdysvaltojen hallituksen ja yrityslehdistön sulkevan silmänsä väärältä väitteeltä pitäisi saada amerikkalaiset suuttumaan. 
 
Kuten lakitiimi äskettäin selitti FDA: ta vastaan nostetussa oikeusjutussa , ""rokotteet"" ovat täysin epäonnistuneet estämään Covid-19:n leviämistä. Siten ei ole oikeudellista, moraalista tai kansanterveydellistä perustetta vaatia ""rokotteita"".",1,7,0,96.0
22,2021-12-11 00:49:00,304506,-27075486,-27075486,"В руки ученых из НИЦ эпидемиологии и микробиологии имени Гамалеи попал вариант ""омикрон"", который специалисты центра вывели из организмов двух россиян, прибывших с инфекцией из ЮАР.",2,3,0,1835.0
38,2021-12-11 00:45:14,1104322,-58310926,-58310926,"В воскресенье в Украину привезут новую партию вакцины CoronaVac 

Страна получит от китайского производителя Sinovac Life Sciences Co., Ltd 2 млн 447 тыс. доз препарата для профилактики Covid-19",1,0,0,160.0
51,2021-12-11 00:42:47,79200,356359385,356359385,"16 НОЯ 2021 
Геополитика 
20 НЕУДОБНЫХ ВОПРОСОВ О ПРИНУДИТЕЛЬНОЙ ВАКЦИНАЦИИ, НА КОТОРЫЕ НЕТ ОТВЕТА 
 
Проводимая по всему миру принудительная вакцинация от коронавируса вызывает много вопросов. 
 
20 вопросов о вакцинации от covid-19 на которые нет ответов 
 
1. Если привитые верят в действие вакцин от COVID-19, то какое им дело до не привитых? Они же надежно защищены прививкой. Или не защищены? Тогда зачем её делать, раз она всё-таки не защищает? А если «защищает слабо и ненадёжно, да ещё и может вызвать побочку» – то как её можно принудительно навязывать другим? 
 
2. Если вирус быстро мутирует и распространяются новые штаммы, какой смысл прививаться старой прививкой? Та же проблема была всегда и с прививкой от гриппа – она часто не помогала при новой эпидемии, просто тяжело нагружала организм. 
 
3. Почему мы слышим агитацию только с одной, «официальной» стороны, то есть тех кому выгодно, чтобы народ вакцинировался по политическим или экономическим, а отнюдь не по медицинским причинам? Что делать с мнением большого количества учёных и специалистов, негативно относящихся как к наспех изготовленным вакцинам (не прошедшим всех испытаний), так и к тотальной вакцинации населения? 
 
4. Почему при прививке заставляют подписывать добровольное согласие, включающее отказ от претензий? К этому же вопросу – почему нет страхования по данному поводу, и оно не планируется? Каким образом простой человек сможет доказать, что вред его здоровью, нанесён вакцинацией? 
 
5. Кто даст гарантию, что само заболевание, включая летальный исход, действительно хуже возможных негативных последствий для здоровья прививающихся? Какими станут люди через несколько лет после прививки? Какими родятся дети? Если они родятся. Почему прививка официально ещё не прошла все испытания, но уже вовсю используется, тем более принудительно? 
 
6. Разве искусственный иммунитет лучше того, что могло бы выработать человечество своими организмами (во всяком случае сильные и здоровые представители, которых сейчас тоже заставляют идти по пути уколов)? Мы все, в основном, неспециалисты и толком не разбираемся ни в прививках, ни в вирусах и, конечно, существуют смертельные заболевания, против которых человек бессилен, но относится ли к ним COVID-19 и его мутации? И как появляются новые штаммы – вирусные мутации? Может ли быть такое, что они возникают, как реакция «недобитого» вируса на недоделанный препарат, не уничтожающий его полностью? 
 
7. Почему болезнь, статистически не являющуюся пандемией, называют пандемией и принимают меры как при пандемии? Исключая, впрочем, введение чрезвычайных положений, так как они подразумевают реальную экономическую поддержку населения, а не минимальные выплаты некоторым категориям граждан. 
 
8. Всем известны случаи, когда вакцинированные заболевали через пару-тройку месяцев после вакцинации, причем заболевали с осложнениями. Работает все-таки прививка или нет? Многие твердят: «если бы не прививка, то я бы вообще умер», но так ли это? Разве так работает прививка? Возможно, прививка облегчает течение заболевания, но, опять-таки, сегодня в больницах с тяжёлым течением полно привитых людей. До появления Ковида слышали ли вы о других вакцинах, от которых «болезнь будет протекать в более лёгкой форме»? Или это некое сомнительное ноухау? 
 
9. А если она всё-таки работает, то сколько, в среднем, действует в реальности, а не в пропаганде? Если вакцина работает достаточно коротко, допустим, один сезон, то мы теперь навсегда «на игле»? Мы навсегда зависимы от постоянных инъекций, которым большинство просто не доверяет и боится их? Насколько скоро мы будем получать ревакцинацию платно и жить «по подписке»? 
 
10. Сколько ревакцинаций в среднем может выдержать здоровый взрослый человек? А не очень здоровый? А ребёнок? А старик? 
 
11. Как объяснить то, что наличие собственных антител – своего иммунного ответа на вирус – не учитывается при желании властей тотально всех прививать? В то же время формальное подтверждение о получении прививки – наличие QR-кода с Госуслуг о прохождении вакцинации, даже без учета того, сформировались ли у привитого антитела или нет – является признаком «белого человека» и его «благонадежности». 
 
12. Чего хотят добиться власти (глобальные или местные), проводя в обществе политику сегрегации – принудительного разделения социума. С поражением в правах тех, кто по какой-то причине не желает вакцинироваться? Ведь причин возможного отказа от вакцинации сотни – это и недоверие к качеству внедряемого медицинского продукта, это принципиальная позиция отказа от прививок в принципе, это различные страхи (неважно – обоснованные они или нет), это мнения уважаемых учёных (в том числе вирусологов и эпидемиологов) и еще множество других. 
 
13. Зачем нагнетать в обществе атмосферу страха, взаимной ненависти и даже простого недовольства действиями? Может быть кто-то хочет такими действиями довести до госпереворота? Или атмосфера страха когда-то способствовала выздоровлению? Где повсеместная агитация за здоровый образ жизни, трезвость, правильное питание, экологичное поведение? Может быть, это бы больше способствовало укреплению иммунитета и победе над вирусом? 
 
14. Насколько нормально то, что сотни тысяч людей уже предупреждены своим руководством о необходимости вакцинации и поставлены перед выбором: потеря работы или прививка? Речь о насильственной вакцинации препаратами, которым люди не доверяют и боятся их. Люди вовсе не дураки, они просто беспокоятся о своем здоровье и о здоровье близких. 
 
15. По какой причине нет согласованных действий госаппарата по вводимым мерам? Каждый регион – кто в лес, кто по дрова. Зачастую такие меры неоправданно строги, а некоторые попросту бессмысленны и противоположны друг другу. Впрочем, этот вопрос, скорее, к качеству, уровню ответственности и компетентности работы управленческого аппарата и ведомственных учреждений. 
 
16. С каких пор искусственный иммунитет, формируемый в результате прививки, стал считаться лучше естественного, который появляется после выздоровления от болезни? Разве всё общество надо вести по пути формирования искусственного иммунитета? В этом очевидно заинтересован мировой фармбизнес, но государство должно придерживаться более взвешенного подхода. 
 
17. Насколько вписывается в нормы общечеловеческой морали выдача электронных отметок по какому-либо признаку? Общечеловеческая мораль – штука довольно пластичная, но всё же? Возникают закономерные вопросы: сегодня общество искусственно делится на привитых и непривитых, а завтра? 
 
18. Насколько вписывается в нормы морали давление и попытка заставить прививаться тех, кто не желает прививаться по морально-этическим или религиозным соображениям? Хотя бы из-за того, что часть вакцин произведено на основании исследований, проведённых на эмбриональных клеточных линиях – абортивном человеческом материале. Современная фармакология вообще во многом напоминает мрачную колдунью из страшной сказки. Так за что же осуждать или устраивать гонения на тех, кто ни морально, ни физически не может этого принимать? 
 
19. Все мы знаем выражение: «Extremis malis extrema remedia», что переводится с латыни так: «отчаянные времена требуют отчаянных мер». Но насколько отчаянны времена массового заболевания COVID-19? Или искусственное нагнетание в народных массах такого представления о ситуации с коронавирусной инфекцией – это война без войны? Всеобщая истерия по тысяче причин, столкновение мнений, переживаний и страхов – настоящая «мутная водица», но кто тогда здесь хитрый «рыбак»? 
 
20. И напоследок, вот ещё – почему человек не имеет права решать сам прививаться ему и его детям или нет? Хочешь – иди и привейся, не считаешь нужным или возможным – не прививайся. Кончаются койко-места в стационарах? Ну, так не население проводило «оптимизацию» здравоохранения в стране, может, стоит напрячься и начать создавать тем, кто привык только получать, разорять и рушить? А если вы считаете, что те, кто отказывается от прививок, несут угрозу всему вокруг, то начинайте читать этот текст заново с 1-го пункта. 
 
*** 
 
Сейчас намеренно сталкивают лбами тех, кто по разным причинам поставил прививку и тех, кто не ставил. Альтернатива стравливанию и объединяющая позиция – добровольность вакцинации. Добровольность подразумевает отсутствие какой-либо сегрегации населения на привитых и непривитых. Отстаивайте добровольность! 
 
Источник",2,8,4,176.0
52,2021-12-11 00:42:29,13291,-161516666,-161516666,"Пятница, 10 декабря, очередная страница коронавирусного дневника 
 
За отчетный четверг, 9 декабря, в Российской Федерации лабораторно подтверждены 30873 новых случая COVID-19, на 664 больше, чем за 8 декабря. Поле пяти дней минуса, увы, снова плюсуем… 
 
Выписаны по выздоровлению за минувшие сутки 35657 жителей России с ранее поставленным диагнозом «COVID-19» (на 137 меньше, чем за 8 декабря). 
 
По итогам отчетного четверга в 48 российских регионах из 85, включая Ленинградскую область, выздоровевших от COVID-19 больше, чем заразившихся «короной» (днем ранее таких регионов было 52, двумя днями ранее – 50). 
 
Умерли от коронавирусной инфекции и ее последствий за 9 декабря 1176 граждан РФ, на пять меньше, чем днем ранее. В число российских регионов, где за отчетный четверг зарегистрировано больше всего смертей от COVID-19, вошли Москва (89 смертей), Московская область (56), Санкт-Петербург (55), Воронежская область (42), Красноярский край и Волгоградская область (по 38), Нижегородская область (36), Башкирия (34), Ростовская область (32), Свердловская и Самарская области (по 31 смерти от коронавируса за 9 декабря). 
 
Без унесенных коронавирусом человеческих жизней четверг, 9 декабря, пережили, как и днем ранее, всего лишь четыре российских региона из 85, сегодня это Магаданская область, Республика Тыва, Ненецкий и Чукотский автономные округа. 
 
В Кингисеппском районе за 9 декабря выявлены, как и вчера, десять новых случаев заражения COVID-19. Шесть человек получили положительный ПЦР-тес на наличие коронавируса в Кингисеппе, три в Ивангороде и один в Усть-Луге. 
 
Выписаны по выздоровлению за отчетные сутки 16 жителей Кингисеппского района с ранее поставленным диагнозом «СOVID-19» (минус один к предыдущему дню). Новые смерти от коронавируса и его последствий за последние четыре дня в нашем районе не регистрировались. 
 
С начала пандемии в Кингисеппском районе, по данным областного Роспотребнадзора, COVID-19 подтверждался 3605 раз. Поправились к сегодняшнему дню 2776 человек (77 процентов), умерли, не справившись с болезнью, по данным на 10 декабря, 112 пациентов (3,11 процента). 
 
В Ленинградской области за 9 декабря выявлен 371 новый случай заражения «короной, на одиннадцать больше, чем за 8 декабря. 
 
Лидируют по числу новых ковид-зараженных за сутки Всеволожский район (плюс 81), Выборгский район (плюс 45) и Гатчинский район (плюс 44). В остальных 14 муниципальных районах Ленинградской области за отчетный четверг, 9 декабря, коронавирусом заразились 26 и менее человек. С наименьшей суточной прибавкой по «короне» - плюс семь - день прожил наш сосед Волосовский район. 
 
Кингисеппский район, где за отчетные сутки плюс десять, занял сегодня в региональном антирейтинге по суточному приросту по «короне» 13 место из 17. 
 
Скончались от коронавирусной инфекции и ее последствий в Ленинградской области за четверг, 9 декабря, 12 человек, на три меньше, чем за 8 декабря. 
 
А за четыре последних дня (спасибо сайту «Минус коронавирус. Ленобласть», обновившему данные по летальным исходами в разрезе муниципальных образований) районы Ленинградской области потеряли в общей сложности 43 человеческие жизни. В Гатчинском районе умерли от СOVID-19 девять человек, в Волховском – пять, в Выборгском, Всеволожском, Тосненском и Тихвинском районах – по четыре, в Киришском – три, в Ломоносовском, Волосовском и Подпорожском – по два, в Кировском, Лодейнопольском, Бокситогорском и – по одному. 
 
Без смертельной прибавки от «короны» четыре последних дня прожили только три муниципальных района Ленинградской области – Приозерский, Лужский и наш Кингисеппский. 
 
Выздоровели от COVID-19 за отчетные сутки в Ленинградской области, по данным сайта «стопкоронавирус.рф», 428 пациентов с ранее поставленным диагнозом «COVID-19». В числе российских регионов, где за 9 декабря больничных, закрытых по выздоровлению пациента от «короны», больше, чем открытых по причине заражения COVID-19, наш регион находится уже 18 дней подряд. 
 
В общей сложности, с начала пандемии короновируса в Ленинградской области COVID-19 заразились 94175 человек. Выздоровели к сегодняшнему дню 74706 пациентов с ранее поставленным диагнозом «COVID-19» (79,3 процента), умерли, не справившись с инфекцией, 2874 человека (3,05 процента).",1,3,1,1285.0
65,2021-12-11 00:40:00,26322,-170708566,-170708566,"«Он такой же член общества, а не изгой»: орловцы рассказали, как относятся к введению регионального QR-кода 

В Орловской области жители с высоким титром антител могут получить QR-код без вакцинации. О своем отношении к региональным QR-кодам орловцы рассказали СИ «Рупор Москвы». 
 
Корреспондент издания пообщался с одним из медиков БУЗ поликлиника № 2. По словам врача, наличие большее 500 единиц ВАU/мл антител означает то, что у пациента сформировался иммунитет, а значит на данный момент вакцинация ему противопоказана и заболеть он не может. 
 
«Антитела в огромном количестве говорят сами за себя. Либо человек переболел, либо его иммунитет справляется. То есть он, как мне кажется, не заразен и так как антитела активны то он такой же член общества, а не изгой, то есть имеет доступ до тех же аптек, поликлиник и магазинов», - поделилась своим мнением ждущая приема врача орловчанка. 
 
Плюсы в получении регионального QR-кода нашла и молодежь. По словам молодой орловчанки, такое новшество во многом облегчит жизнь. 
 
«Зато не придется делать прививку, уже что-то. Сдал кровь и отделался, получил код. Сейчас зима, очень холодно и нужно покупать зимнюю одежду, соответственно, в магазине заказывать невыгодно, потому что размер может не подойти. И это большая возможность пройтись по магазинам и выбрать все, что тебе нужно», - рассказала девушка. 
 
Получить региональный QR-код сроком на три месяца можно после получения результата лабораторного исследования крови, подтверждающего наличие достаточного титра антител к COVID-19.",1,1,0,132.0
71,2021-12-11 00:37:19,6057,-82036463,-82036463,"ПОДУМАЙТЕ О ТЕХ, КТО ЗАЩИЩАЕТ ВАШЕ ЗДОРОВЬЕ

Группа ученых из Колумбийского университета провела серию опросов среди 813 медицинских работников из Нью-Йорка, чтобы оценить симптомы психологического стресса и качество сна во время первой волны пандемии. В результате более 70% участники сообщили, что страдают от хронической бессонницы как минимум средней степени. И хотя это число уменьшилось по мере снижения заболеваемости в Нью-Йорке, нарушения сна сохранились почти у половины медработников даже когда ситуация с COVID-19 полностью стабилизировалась. «Дефицит сна снижает качество ухода за пациентами и может увеличить количество медицинских ошибок», — сообщили авторы исследования. Когда ученые проанализировали результаты всех опросов, они обнаружили, что медработники с бессонницей также имеют высокие показатели стресса, депрессии и тревожности. В частности, симптомы депрессии и хронического стресса у них выявлялись на 50% чаще, чем у коллег без нарушений сна, и на 70% чаще — симптомы тревожности. «Прямо сейчас существенная доля медицинских работников покидает свои рабочие места из-за стресса, что приводит к нехватке кадров по всем стране. При меньшем количестве работников оставшийся персонал должен работать больше и дольше, что усугубляет их проблемы со сном и со стрессом», — предупредили ученые и призвали уделять повышенное внимание поддержке медиков.

https://www.sciencedirect.com/science/article/pii/S016503272101106X",1,1,0,49.0
